NAME,TYPE,MAG,SIZE,RA,DEC
NGC5128,Galaxy,6.8,27.6',13 25.5,-43 01
NGC5139,cluster,3.9,36.3',13 26.8,-47 29
NGC5247,Galaxy,10,5.4',13 38.0,-17 53
NGC5248,Galaxy,10.3,5.9',13 37.5,+08 53
NGC5273,Galaxy,11.6,2.7',13 42.1,+35 39
NGC5286,cluster,7.4,9.1',13 46.4,-51 22
NGC5322,Galaxy,10.2,6',13 49.2,+60 11
NGC5350,Galaxy,11.3,3.2',13 53.4,+40 22
NGC5353,Galaxy,11,2.8',13 53.4,+40 17
NGC5354,Galaxy,11.4,2.2',13 53.4,+40 18
NGC5363,Galaxy,10.1,4.6',13 56.1,+05 15
NGC5364,Galaxy,10.5,6.1',13 56.2,+05 01
NGC5371,Galaxy,10.6,4.2',13 55.7,+40 28
NGC5427,Galaxy,11.4,2.9',14 03.4,-06 02
NGC5466,cluster,9.1,9.2',14 05.5,+28 32
NGC5473,Galaxy,11.4,2.2',14 04.7,+54 54
NGC5474,Galaxy,10.8,5',14 05.0,+53 40
NGC5557,Galaxy,11,2.4',14 18.4,+36 30
NGC5566,Galaxy,10.6,6.6',14 20.3,+03 56
NGC5576,Galaxy,11,3',14 21.1,+03 16
NGC5631,Galaxy,11.5,2',14 26.6,+56 35
NGC5634,cluster,9.5,4.9',14 29.6,-05 59
NGC5643,Galaxy,10,4.7',14 32.7,-44 11
NGC5676,Galaxy,11.2,3.9',14 32.8,+49 27
NGC5689,Galaxy,11.9,3.3',14 35.5,+48 44
NGC5694,cluster,10.2,3.6',14 39.6,-26 32
NGC5746,Galaxy,10.3,6.9',14 44.9,+01 57
NGC5813,Galaxy,10.5,4',15 01.2,+01 42
NGC5822,cluster,6.5,40',15 04.4,-54 24
NGC5823,cluster,7.9,10',15 05.5,-55 36
NGC5824,cluster,9.1,6.2',15 04.0,-33 04
NGC5846,Galaxy,10,4',15 06.5,+01 36
NGC5850,Galaxy,10.8,4.5',15 07.1,+01 33
NGC5897,cluster,8.4,8.7',15 17.4,-21 01
NGC5907,Galaxy,10.3,11.8',15 15.9,+56 20
NGC5927,cluster,8,12',15 28.0,-50 40
NGC5946,cluster,8.4,7.1',15 35.5,-50 40
NGC5982,Galaxy,11.1,3',15 38.7,+59 21
NGC5986,cluster,7.6,9.8',15 46.1,-37 47
NGC6067,cluster,5.6,13',16 13.2,-54 13
NGC6118,Galaxy,11.7,4.7',16 21.8,-02 17
NGC6124,cluster,5.8,29',16 25.3,-40 39
NGC6134,cluster,7.2,7',16 27.8,-49 09
NGC6144,cluster,9.1,6.2',16 27.2,-26 01
NGC6192,cluster,8.5,9',16 40.4,-43 22
NGC6193,cluster,5.2,15',16 41.3,-48 46
NGC6204,cluster,8.2,5',16 46.2,-47 01
NGC6207,Galaxy,11.6,3',16 43.1,+36 50
NGC6210,nebula,9.7,20'',16 44.5,+23 48
NGC6217,Galaxy,11.2,3.3',16 32.6,+78 12
NGC6222,cluster,10,4',16 49.4,-44 44
NGC6229,cluster,9.4,3.8',16 47.0,+47 32
NGC6231,cluster,2.6,15',16 54.2,-41 49
NGC6235,cluster,8.9,1.9',16 53.4,-22 11
NGC6242,cluster,6.4,9',16 55.6,-39 28
NGC6259,cluster,8,10',17 00.8,-44 39
NGC6281,cluster,5.4,200',17 04.7,-37 59
NGC6284,cluster,9,2.7',17 04.5,-24 46
NGC6287,cluster,9.2,2.7',17 05.2,-22 42
NGC6293,cluster,8.2,3.5',17 10.2,-26 35
NGC6302,nebula,12.8,72'',17 13.7,-37 06
NGC6304,cluster,8.4,3.8',17 14.5,-29 28
NGC6309,nebula,11.6,20'',17 14.1,-12 55
NGC6316,cluster,8.1,4.9',17 16.6,-28 08
NGC6334,nebula,-,120',17 20.8,-36 06
NGC6342,cluster,9.5,3',17 21.2,-19 35
NGC6352,cluster,7.8,7.1',17 25.5,-48 25
NGC6355,cluster,8.6,6.1',17 24.0,-26 21
NGC6356,cluster,8.2,3.5',17 23.6,-17 49
NGC6366,cluster,9.5,5.8',17 27.7,-05 05
NGC6369,nebula,11,30'',17 29.3,-23 46
NGC6388,cluster,6.8,8.7',17 36.3,-44 44
NGC6397,cluster,5.3,25.7',17 40.7,-53 40
NGC6401,cluster,7.4,1',17 38.6,-23 55
NGC6426,cluster,10.9,3.2',17 44.9,+03 10
NGC6440,cluster,9.3,1.7',17 48.9,-20 22
NGC6441,cluster,7.4,7.8',17 50.2,-37 03
NGC6445,nebula,13,35'',17 49.3,-20 01
NGC6451,cluster,8.2,8',17 50.7,-30 13
NGC6453,cluster,10.2,3.5',17 50.9,-34 36
NGC6503,Galaxy,10.2,7',17 49.5,+70 09
NGC6517,cluster,10.3,1',18 01.8,-08 58
NGC6520,cluster,7.6,6',18 03.4,-27 53
NGC6522,cluster,9.9,5.6',18 03.6,-30 02
NGC6528,cluster,9.5,3.7',18 04.8,-30 03
NGC6535,cluster,9.3,1.3',18 03.8,-00 18
NGC6539,cluster,8.9,2.5',18 04.8,-07 35
NGC6541,cluster,6.3,13.1',18 08.0,-43 42
NGC6543,nebula,8.3,22'',17 58.6,+66 38
NGC6544,cluster,7.5,8.4',18 07.3,-25 00
NGC6553,cluster,8.3,3.2',18 09.3,-25 54
NGC6568,cluster,8.6,13',18 12.8,-21 35
NGC6569,cluster,8.4,5.8',18 13.6,-31 50
NGC6572,nebula,8,15'',18 12.1,+06 51
NGC6583,cluster,10,2.8',18 15.8,-22 08
NGC6603,cluster,11.1,5',18 18.4,-18 24
NGC6624,cluster,7.6,5.9',18 23.7,-30 22
NGC6629,nebula,10.5,16'',18 25.7,-23 12
NGC6633,cluster,4.6,27',18 27.3,+06 31
NGC6638,cluster,9.2,2.2',18 30.9,-25 30
NGC6642,cluster,8.8,0.8',18 31.9,-23 29
NGC6645,cluster,8.5,10',18 32.0,-16 53
NGC6649,cluster,8.9,6',18 33.5,-10 24
NGC6652,cluster,8.5,3.5',18 35.8,-32 59
NGC6664,cluster,7.8,16',18 36.6,-07 49
NGC6712,cluster,8.2,4.3',18 53.1,-08 42
NGC6723,cluster,6.8,11',18 59.6,-36 38
NGC6726,nebula,-,2',19 01.7,-36 53
NGC6727,nebula,-,80',19 01.7,-36 53
NGC6729,nebula,-,25',19 01.9,-36 57
NGC6752,cluster,5.4,20.4',19 10.9,-59 59
NGC6755,cluster,7.5,15',19 07.8,+04 16
NGC6756,cluster,10.6,4',19 08.7,+04 42
NGC6760,cluster,9.1,2.4',19 11.2,+01 02
NGC6781,nebula,11.8,111'',19 18.5,+06 32
NGC6791,cluster,9.5,16',19 20.7,+37 51
NGC6802,cluster,8.8,3.2',19 30.6,+20 16
NGC6818,nebula,10,22'',19 44.0,-14 09
NGC6819,cluster,7.3,5',19 41.3,+40 11
NGC6822,Galaxy,8.8,15.4',19 44.9,-14 48
NGC6823,cluster,7.1,12',19 43.2,+23 18
NGC6826,nebula,8.8,27'',19 44.8,+50 32
NGC6830,cluster,7.9,12',19 51.0,+23 06
NGC6834,cluster,7.8,5',19 52.2,+29 24
NGC6857,nebula,11.4,0.8',20 02.8,+33 31
NGC6866,cluster,7.6,7',20 03.9,+44 10
NGC6885,cluster,8.1,7',20 11.9,+26 29
NGC6888,nebula,10,20',20 12.8,+38 19
NGC6905,nebula,12,44'',20 22.4,+20 06
NGC6907,Galaxy,11.2,3.4',20 25.1,-24 49
NGC6910,cluster,7.4,8',20 23.2,+40 47
NGC6934,cluster,8.9,7',20 34.2,+07 24
NGC6939,cluster,7.8,8',20 31.5,+60 40
NGC6940,cluster,6.3,31',20 34.4,+28 17
NGC6946,Galaxy,8.8,11.2',20 34.9,+60 09
NGC6960,nebula,7,210',20 45.7,+30 43
NGC6974,nebula,-,,20 51.1,+31 50
NGC6979,nebula,-,3',20 51.0,+32 08
NGC6992,nebula,7,60',20 56.4,+31 43
NGC6995,nebula,7,12',20 57.1,+31 13
NGC7000,nebula,4,120',21 01.8,+44 12
NGC7006,cluster,10.6,2.8',21 01.5,+16 11
NGC7008,nebula,12,86'',21 00.5,+54 33
NGC7009,nebula,8.3,28'',21 04.2,-11 22
NGC7023,nebula,7.1,5',21 00.5,+68 10
NGC7026,nebula,12,25'',21 06.3,+47 51
NGC7027,nebula,9.6,18'',21 07.0,+42 14
NGC7044,cluster,12,6',21 12.9,+42 29
NGC7062,cluster,8.3,7',21 23.5,+46 23
NGC7086,cluster,8.4,9',21 30.5,+51 36
NGC7090,Galaxy,10.7,7.3',21 36.5,-54 33
NGC7128,cluster,9.7,3.1',21 44.0,+53 43
NGC7129,nebula,11.5,2.7',21 43.0,+66 07
NGC7142,cluster,9.3,4.3',21 45.2,+65 46
NGC7160,cluster,6.1,7',21 53.7,+62 36
NGC7184,Galaxy,10.9,5.9',22 02.7,-20 49
NGC7209,cluster,7.7,25',22 05.1,+46 29
NGC7217,Galaxy,10.1,4',22 07.9,+31 22
NGC7243,cluster,6.4,21',22 15.1,+49 54
NGC7293,nebula,6.3,960'',22 29.6,-20 50
NGC7296,cluster,9.7,4',22 28.2,+52 17
NGC7320,Galaxy,12.6,2.3',22 36.1,+33 57
NGC7331,Galaxy,9.5,10.2',22 37.1,+34 25
NGC7380,cluster,7.2,12',22 47.3,+58 08
NGC7424,Galaxy,10.5,10',22 57.3,-41 04
NGC7448,Galaxy,11.7,2.6',23 00.1,+15 59
NGC7479,Galaxy,10.9,4',23 04.9,+12 19
NGC7510,cluster,7.9,4',23 11.5,+60 34
NGC7582,Galaxy,10.6,5',23 18.4,-42 22
NGC7606,Galaxy,10.8,4.2',23 19.1,-08 29
NGC7619,Galaxy,11.1,2.8',23 20.2,+08 12
NGC7635,nebula,11,15',23 20.2,+61 11
NGC7662,nebula,8.6,17'',23 25.9,+42 32
NGC7686,cluster,5.6,15',23 30.1,+49 08
NGC7723,Galaxy,11.2,3.5',23 39.0,-12 58
NGC7727,Galaxy,10.6,4.7',23 39.9,-12 18
NGC7789,cluster,6.7,16',23 57.4,+56 43
NGC7790,cluster,8.5,17',23 58.4,+61 13
NGC7793,Galaxy,9.1,9.6',23 57.8,-32 36
NGC7814,Galaxy,10.6,4.7',00 03.2,+16 09
IC342,Galaxy,12,20.9',03 46.8,+68 06
IC405,nebula,10,50',05 16.5,+34 21
IC410,nebula,7.5,11',05 22.7,+33 25
IC434,nebula,11,90',05 41.0,-02 27
IC1396,nebula,3.5,89',21 39.1,+57 30
IC4406,nebula,11,46'',14 22.4,-44 09
IC5067,nebula,8,60',20 50.8,+44 21
IC5146,nebula,10,20',21 53.4,+47 16
