NAME,TYPE,MAG,SIZE,RA,DEC
M95,Galaxy,9.7,7.3',10 44.0,+11 42
M96,Galaxy,9.3,7.8',10 46.8,+11 49
M97,nebula,11,202'',11 14.8,+55 01
M98,Galaxy,10.1,9.4',12 13.8,+14 54
M99,Galaxy,9.9,5.3',12 18.8,+14 25
M100,Galaxy,9.4,7.5',12 22.9,+15 49
M101,Galaxy,7.9,28.5',14 03.2,+54 21
M102,Galaxy,9.9,6.5',15 06.5,+55 46
M103,cluster,7.4,6',01 33.4,+60 39
M104,Galaxy,8,8.6',12 40.0,-11 37
M105,Galaxy,9.3,5.3',10 47.8,+12 35
M106,Galaxy,8.4,17.4',12 19.0,+47 18
M107,cluster,7.8,3.3',16 32.5,-13 03
M108,Galaxy,10,8.6',11 11.5,+55 40
M109,Galaxy,9.8,7.5',11 57.6,+53 22
M110,Galaxy,8.1,19.5',00 40.4,+41 41
NGC40,nebula,10.7,60'',00 13.0,+72 31
NGC55,Galaxy,7.9,31.2',00 14.9,-39 11
NGC129,cluster,6.5,21',00 30.0,+60 13
NGC136,cluster,11.5,1.2',00 31.5,+61 31
NGC147,Galaxy,9.5,13.5',00 33.2,+48 30
NGC157,Galaxy,10.4,4.1',00 34.8,-08 24
NGC185,Galaxy,9.2,12.5',00 39.0,+48 20
NGC188,cluster,8.1,14',00 47.5,+85 14
NGC210,Galaxy,10.9,4.6',00 40.6,-13 52
NGC225,cluster,7,12',00 43.6,+61 46
NGC246,nebula,10.4,240'',00 47.1,-11 52
NGC247,Galaxy,9.1,21',00 47.1,-20 46
NGC253,Galaxy,7.2,26.4',00 47.6,-25 18
NGC278,Galaxy,10.8,2.4',00 52.1,+47 33
NGC281,nebula,7.4,4',00 53.0,+56 37
NGC288,cluster,8.1,13.8',00 52.8,-26 35
NGC300,Galaxy,8.1,19.3',00 54.9,-37 41
NGC381,cluster,9.3,6',01 08.4,+61 35
NGC404,Galaxy,10.3,4.3',01 09.4,+35 43
NGC436,cluster,8.8,6',01 16.0,+58 49
NGC457,cluster,6.4,13',01 19.5,+58 17
NGC488,Galaxy,10.3,5.4',01 21.8,+05 15
NGC524,Galaxy,10.3,3.2',01 24.8,+09 32
NGC559,cluster,9.5,4.4',01 29.5,+63 19
NGC584,Galaxy,10.5,3.3',01 31.3,-06 52
NGC596,Galaxy,10.9,2.8',01 32.9,-07 02
NGC613,Galaxy,10.1,5.2',01 34.3,-29 25
NGC615,Galaxy,11.6,3.4',01 35.1,-07 20
NGC637,cluster,8.2,3.5',01 43.1,+64 02
NGC654,cluster,6.5,5',01 44.0,+61 53
NGC659,cluster,7.9,5',01 44.4,+60 40
NGC663,cluster,7.1,16',01 46.0,+61 15
NGC672,Galaxy,10.9,7.5',01 47.9,+27 26
NGC720,Galaxy,10.2,4.4',01 53.0,-13 44
NGC752,cluster,5.7,50',01 57.7,+37 40
NGC772,Galaxy,10.3,7.5',01 59.3,+19 00
NGC779,Galaxy,11.2,4.1',01 59.7,-05 58
NGC869,cluster,5.3,30',02 19.1,+57 08
NGC884,cluster,6.1,30',02 22.5,+57 09
NGC891,Galaxy,9.9,13.1',02 22.6,+42 21
NGC908,Galaxy,10.2,6.1',02 23.1,-21 14
NGC925,Galaxy,10.1,10.9',02 27.3,+33 35
NGC936,Galaxy,10.1,4.3',02 27.6,-01 09
NGC986,Galaxy,10.9,4',02 33.6,-39 03
NGC1022,Galaxy,11.3,2.6',02 38.5,-06 41
NGC1023,Galaxy,9.4,8.1',02 40.4,+39 04
