NAME,MAG,RA,DEC
Kochab,2.08,14.50.42,74.09.20
Kornephoros,2.81,16.30.13,21.29.23
Kraz,2.65,12.34.23,-23.23.48
Lesuth,2.70,17.30.46,-37.17.45
Maaz,3.04,05.01.58,43.49.24
Marfik,3.90,16.30.55,01.59.02
Markab,2.48,23.04.46,15.12.19
Matar,2.95,22.43.00,30.13.16
Mebsuta,3.06,06.43.56,25.07.52
Megrez,3.31,12.15.26,57.01.57
Meissa,3.54,05.35.08,09.56.03
Mekbuda,3.93,07.04.07,20.34.13
Menkalinan,1.90,05.59.32,44.56.51
Menkar,2.53,03.02.17,04.05.23
Menkent,2.06,14.06.41,-36.22.12
Menkib,4.04,03.58.58,35.47.28
Merak,2.37,11.01.50,56.22.57
Miaplacidus,1.68,09.13.13,-69.43.2
Mimosa,1.25,12.47.43,-59.41.20
Minkar,3.02,12.10.07,-22.37.11
Mintaka,2.23,05.32.00,-00.17.57
Mira,3.04,02.19.21,-02.58.39
Mirach,2.05,01.09.44,35.37.14
Mirfak,1.81,03.24.19,49.51.40
Mirzam,1.98,06.22.42,-17.57.21
Mizar,2.23,13.23.56,54.55.31
Mothallah,3.42,01.53.05,29.34.44
Muhlifain,2.17,12.41.31,-48.57.36
Muphrid,2.68,13.54.41,18.23.52
Muscida,3.35,08.30.16,60.43.05
Nair Saif,2.77,05.35.26,-05.54.36
Naos,2.21,08.03.35,-40.00.12
Nashira,3.69,21.40.05,-16.39.44
Nasl,2.98,18.05.48,-30.25.27
Navi,2.47,00.56.43,60.43.00
Nekkar,3.49,15.01.57,40.23.26
Nihal,2.84,05.28.15,-20.45.34
Nunki,2.05,18.55.16,-26.17.48
Nusakan,3.65,15.27.50,29.06.21
Peacock,1.94,20.25.39,-56.44.06
Phact,2.64,05.39.39,-34.04.27
Phad,2.44,11.53.50,53.41.41
Pherkad,3.05,15.20.44,71.50.02
Polaris,1.98,02.31.49,89.15.51
Pollux,1.14,07.45.19,28.01.34
Porrima,2.74,12.41.40,-01.26.58
Praecipua,3.75,10.53.19,34.12.50
Prijipati,3.74,05.59.32,54.17.05
Procyon,0.34,07.39.18,05.13.30
Propus,3.15,06.14.53,22.30.25
Rana,3.54,03.43.15,-09.45.48
Rasalas,4.10,09.52.45,26.00.23
Rasalgethi,2.91,17.14.39,14.23.25
